URL,HTTP,Final URL,Title,Meta,H1,Canonical,Robots,Sitemap,Inlinks,Outlinks,Schema,Status
"https://www.entirefm.com/","200","https://www.entirefm.com/","Entire FM | Total Facilities Management Services UK","Entire FM provides integrated Hard FM, Soft FM, mechanical &amp; electrical engineering, PPM, and specialist facilities management across London and the UK.","Facilities management,without the friction.","https://www.entirefm.com","index, follow","sitemaps/core.xml","133","106","Missing","PASS"
"https://www.entirefm.com/24-7-fm-support","200","https://www.entirefm.com/24-7-fm-support","24 7 Fm Support | Facilities Management &amp; Engineering | Entire FM","Specialist commercial 24 7 fm support across the UK. Proactive maintenance, building engineering, statutory compliance, and dedicated client management.","24 7 Fm Support — Facilities Management &amp; Engineering","https://www.entirefm.com/24-7-fm-support","index, follow","sitemaps/core.xml","108","86","Valid JSON-LD","PASS"
"https://www.entirefm.com/about-entire-facilities-management","200","https://www.entirefm.com/about-entire-facilities-management","About EntireFM | Independent Facilities Management Since 2009","EntireFM is an independently owned facilities management provider. Started in 2009 as a small building maintenance company; now maintaining commercial property nationwide.","Independently owned. Building maintenance since 2009.","https://www.entirefm.com/about-entire-facilities-management","index, follow","sitemaps/company.xml","110","88","Valid JSON-LD","PASS"
"https://www.entirefm.com/access-control","200","https://www.entirefm.com/access-control","Access Control Systems | Installation &amp; Maintenance | EntireFM","Commercial access control installation, maintenance and fault response — door entry, fobs, readers, barriers and integration with fire and intruder systems.","Commercial Access Control Systems","https://www.entirefm.com/access-control","index, follow","sitemaps/hard-fm.xml","109","87","Valid JSON-LD","PASS"
"https://www.entirefm.com/accessibility-statement","200","https://www.entirefm.com/accessibility-statement","Accessibility Statement | Entire FM","Official accessibility statement documentation and legal governance for EntireFM.","Accessibility Statement","https://www.entirefm.com/accessibility-statement","index, follow","sitemaps/core.xml","103","82","Valid JSON-LD","PASS"
"https://www.entirefm.com/account-registration","200","https://www.entirefm.com/account-registration","Client Account Registration | EntireFM","Register for an EntireFM client account to log jobs, track progress, access compliance certificates and view planned maintenance schedules for your sites.","Client Account Registration","https://www.entirefm.com/account-registration","index, follow","sitemaps/company.xml","109","87","Valid JSON-LD","PASS"
"https://www.entirefm.com/aerial-drone-building-inspection","200","https://www.entirefm.com/aerial-drone-building-inspection","Aerial Drone Building Inspections | High-Level Surveys | Entire FM","Commercial drone building inspections and roof surveys across the UK. High-resolution imaging, thermal anomaly detection, and safe high-reach assessments.","Aerial Drone Building Inspections &amp; Roof Surveys","https://www.entirefm.com/aerial-drone-building-inspection","index, follow","sitemaps/hard-fm.xml","108","86","Valid JSON-LD","PASS"
"https://www.entirefm.com/airport-facilities-management","200","https://www.entirefm.com/airport-facilities-management","Airport Facilities Management | Terminal &amp; Airside Engineering | Entire FM","Specialist facilities management for airports, train stations, and transport hubs. Security-vetted engineering, passenger flow cleaning, and critical power.","Airport &amp; Aviation Terminal Facilities Management","https://www.entirefm.com/airport-facilities-management","index, follow","sitemaps/sectors.xml","108","86","Valid JSON-LD","PASS"
"https://www.entirefm.com/arena-facilities-management","200","https://www.entirefm.com/arena-facilities-management","Arena Facilities Management | Entertainment Complex FM | Entire FM","Total facilities management for sports stadiums, concert arenas, and leisure complexes. High-capacity cleaning, crowd safety systems, turnstiles, and pitch lighting.","Arena &amp; Large Entertainment Complex Facilities Management","https://www.entirefm.com/arena-facilities-management","index, follow","sitemaps/sectors.xml","108","86","Valid JSON-LD","PASS"
"https://www.entirefm.com/arena-facilities-management-1","200","https://www.entirefm.com/arena-facilities-management-1","Arena &amp; Venue Facilities Management | EntireFM","Facilities management for arenas and live venues — event-day readiness, overnight turnarounds, crowd-load plant, and maintenance that fits an immovable calendar.","Arena and Live Venue Facilities Management","https://www.entirefm.com/arena-facilities-management-1","index, follow","sitemaps/sectors.xml","109","87","Valid JSON-LD","PASS"
